iter	Passed	Remaining
0	12	3696
1	24	3597
2	35	3536
3	46	3404
4	56	3319
5	67	3295
6	77	3248
7	87	3208
8	98	3177
9	107	3118
10	117	3097
11	127	3053
12	136	3020
13	149	3052
14	159	3033
15	169	3015
16	181	3019
17	190	2988
18	201	2975
19	211	2963
20	221	2946
21	232	2939
22	242	2923
23	252	2905
24	262	2891
25	273	2878
26	284	2873
27	295	2867
28	305	2853
29	314	2833
30	325	2826
31	335	2810
32	346	2806
33	357	2795
34	367	2781
35	378	2776
36	389	2767
37	398	2750
38	410	2746
39	423	2754
40	434	2742
41	445	2737
42	456	2730
43	467	2717
44	478	2709
45	489	2700
46	499	2686
47	512	2688
48	523	2681
49	533	2669
50	544	2657
51	554	2646
52	566	2639
53	576	2625
54	586	2612
55	596	2597
56	606	2583
57	615	2569
58	625	2556
59	636	2545
60	644	2524
61	653	2508
62	663	2496
63	674	2485
64	685	2477
65	694	2463
66	706	2456
67	715	2440
68	724	2426
69	735	2418
70	746	2406
71	755	2392
72	765	2381
73	775	2368
74	785	2357
75	795	2344
76	805	2331
77	815	2321
78	825	2308
79	836	2300
80	847	2292
81	858	2281
82	869	2271
83	878	2259
84	888	2247
85	898	2235
86	908	2223
87	917	2210
88	927	2198
89	937	2186
90	947	2175
91	957	2163
92	966	2151
93	978	2143
94	987	2130
95	998	2120
96	1008	2109
97	1017	2096
98	1029	2091
99	1039	2079
100	1049	2068
101	1061	2060
102	1071	2049
103	1081	2039
104	1093	2030
105	1103	2019
106	1114	2010
107	1125	2001
108	1134	1987
109	1145	1978
110	1156	1968
111	1165	1957
112	1177	1948
113	1188	1938
114	1197	1926
115	1208	1916
116	1218	1906
117	1228	1894
118	1238	1884
119	1248	1873
120	1262	1867
121	1272	1857
122	1282	1845
123	1292	1834
124	1303	1824
125	1312	1812
126	1323	1803
127	1333	1792
128	1344	1781
129	1355	1772
130	1365	1761
131	1374	1749
132	1384	1738
133	1395	1728
134	1406	1718
135	1416	1708
136	1426	1697
137	1437	1687
138	1447	1676
139	1457	1665
140	1467	1655
141	1476	1642
142	1486	1631
143	1495	1620
144	1505	1609
145	1517	1600
146	1526	1589
147	1538	1580
148	1552	1573
149	1563	1563
150	1573	1552
151	1584	1542
152	1594	1531
153	1604	1521
154	1615	1511
155	1623	1498
156	1632	1487
157	1641	1474
158	1650	1463
159	1660	1453
160	1671	1442
161	1682	1432
162	1691	1422
163	1701	1411
164	1712	1401
165	1722	1390
166	1732	1379
167	1741	1368
168	1751	1357
169	1762	1347
170	1771	1336
171	1780	1325
172	1790	1314
173	1798	1302
174	1809	1292
175	1819	1281
176	1829	1271
177	1839	1260
178	1848	1249
179	1859	1239
180	1869	1228
181	1878	1218
182	1889	1208
183	1899	1197
184	1910	1187
185	1920	1177
186	1930	1166
187	1941	1156
188	1952	1146
189	1962	1136
190	1973	1126
191	1984	1116
192	1994	1105
193	2005	1095
194	2014	1084
195	2024	1074
196	2034	1063
197	2043	1052
198	2056	1043
199	2066	1033
200	2076	1022
201	2086	1012
202	2098	1002
203	2107	991
204	2118	981
205	2128	971
206	2139	961
207	2148	950
208	2158	939
209	2168	929
210	2178	918
211	2188	908
212	2199	898
213	2209	887
214	2219	877
215	2230	867
216	2241	857
217	2252	847
218	2262	836
219	2272	826
220	2283	816
221	2294	806
222	2304	795
223	2314	785
224	2324	774
225	2334	764
226	2344	753
227	2353	743
228	2364	733
229	2375	722
230	2385	712
231	2396	702
232	2406	691
233	2416	681
234	2427	671
235	2437	660
236	2447	650
237	2457	640
238	2466	629
239	2477	619
240	2486	608
241	2500	599
242	2512	589
243	2523	579
244	2533	568
245	2544	558
246	2554	548
247	2564	537
248	2579	528
249	2590	518
250	2601	507
251	2611	497
252	2623	487
253	2633	476
254	2643	466
255	2655	456
256	2663	445
257	2674	435
258	2683	424
259	2693	414
260	2703	403
261	2713	393
262	2723	383
263	2733	372
264	2742	362
265	2753	351
266	2762	341
267	2773	331
268	2784	320
269	2793	310
270	2804	300
271	2814	289
272	2823	279
273	2833	268
274	2843	258
275	2854	248
276	2864	237
277	2874	227
278	2885	217
279	2895	206
280	2905	196
281	2916	186
282	2928	175
283	2938	165
284	2948	155
285	2958	144
286	2969	134
287	2980	124
288	2990	113
289	3000	103
290	3010	93
291	3020	82
292	3030	72
293	3040	62
294	3051	51
295	3061	41
296	3070	31
297	3081	20
298	3091	10
299	3102	0
